school,sex,address,famsize,Pstatus,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,bin_Mjob_at_home,bin_Mjob_health,bin_Mjob_other,bin_Mjob_services,bin_Mjob_teacher,bin_Fjob_teacher,bin_Fjob_other,bin_Fjob_services,bin_Fjob_health,bin_Fjob_at_home,bin_reason_course,bin_reason_other,bin_reason_home,bin_reason_reputation,bin_guardian_mother,bin_guardian_father,bin_guardian_other,age,Medu,Fedu,traveltime,studytime,famrel,freetime,goout,Dalc,Walc,health,absences,failures,G2,G1,G3,result
1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,18,4,4,2,2,4,3,4,1,1,3,6,0,6,5,6,fail
1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,17,1,1,1,2,5,3,3,1,1,3,4,0,5,5,6,fail
1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,15,1,1,1,2,4,3,2,2,3,3,10,3,8,7,10,pass
1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,15,4,2,1,3,3,2,2,1,1,5,2,0,14,15,15,pass
1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,16,3,3,1,2,4,3,2,1,2,5,4,0,10,6,10,pass
1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,16,4,3,1,2,5,4,2,1,2,5,10,0,15,15,15,pass
1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,16,2,2,1,2,4,4,4,1,1,3,0,0,12,12,11,pass
1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,17,4,4,2,2,4,1,4,1,1,1,6,0,5,6,6,fail
1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,15,3,2,1,2,4,2,2,1,1,1,0,0,18,16,19,pass
1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,15,3,4,1,2,5,5,1,1,1,5,0,0,15,14,15,pass
1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,15,4,4,1,2,3,3,3,1,2,2,0,0,8,10,9,fail
1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,15,2,1,3,3,5,2,2,1,1,4,4,0,12,10,12,pass
1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,15,4,4,1,1,4,3,3,1,3,5,2,0,14,14,14,pass
1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,15,4,3,2,2,5,4,3,1,2,3,2,0,10,10,11,pass
1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,15,2,2,1,3,4,5,2,1,1,3,0,0,16,14,16,pass
1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,16,4,4,1,1,4,4,4,1,2,2,4,0,14,14,14,pass
1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,16,4,4,1,3,3,2,3,1,2,2,6,0,14,13,14,pass
1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,16,3,3,3,2,5,3,2,1,1,4,4,0,10,8,10,pass
1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,17,3,2,1,1,5,5,5,2,4,5,16,3,5,6,5,fail
1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,16,4,3,1,1,3,1,3,1,3,5,4,0,10,8,10,pass
1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,15,4,3,1,2,4,4,1,1,1,1,0,0,14,13,15,pass
1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,15,4,4,1,1,5,4,2,1,1,5,0,0,15,12,15,pass
1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,16,4,2,1,2,4,5,1,1,3,5,2,0,15,15,16,pass
1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,16,2,2,2,2,5,4,4,2,4,5,0,0,13,13,12,pass
1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,15,2,4,1,3,4,3,2,1,1,5,2,0,9,10,8,fail
